Sector;Cave;x;y
S01Q3;Cumbra;601051.592;8529529.437
S02Q1;Cumbra;601039.869;8529520.518
S02Q2;Cumbra;601044.623;8529525.171
S02Q3;Cumbra;601049.376;8529529.824
S01Q1;R_Bovina;615971.38;8531865.077
S01Q2;R_Bovina;615976.298;8531867.785
S01Q3;R_Bovina;615981.216;8531870.492
S02Q1;R_Bovina;615975.812;8531856.641
S02Q2;R_Bovina;615980.566;8531861.294
S02Q3;R_Bovina;615985.319;8531865.946
S01Q1;F_Obliqua;600885.707;8528564.281
S01Q2;F_Obliqua;600890.625;8528566.988
S01Q3;F_Obliqua;600895.543;8528569.696
S01Q1;Tunel1;609343.337;8535881.014
S01Q2;Tunel1;609348.255;8535883.721
S01Q3;Tunel1;609353.173;8535886.428
S01Q1;Pajeu;598773.005;8526934.992
S01Q2;Pajeu;598777.923;8526937.7
S01Q3;Pajeu;598782.841;8526940.407
S02Q1;Pajeu;598811.824;8526934.784
S02Q2;Pajeu;598816.578;8526939.437
S02Q3;Pajeu;598821.331;8526944.09
S03Q1;Pajeu;598850.499;8526942.159
S03Q2;Pajeu;598855.252;8526946.812
S03Q3;Pajeu;598860.006;8526951.464
S04Q1;Pajeu;598890.789;8526938.509
S04Q2;Pajeu;598895.718;8526941.026
S04Q3;Pajeu;598900.647;8526943.542
S05Q1;Pajeu;598923.936;8526944.025
S05Q2;Pajeu;598928.865;8526946.541
S05Q3;Pajeu;598933.794;8526949.058
S01Q1;Leao;601347.235;8539158.06
S01Q2;Leao;601352.153;8539160.767
S01Q3;Leao;601357.071;8539163.474
S02Q1;Leao;601334.292;8539159.1
S02Q2;Leao;601339.045;8539163.752
S02Q3;Leao;601343.799;8539168.405
S03Q1;Leao;601314.624;8539161.757
S03Q2;Leao;601319.378;8539166.409
S03Q3;Leao;601324.131;8539171.062
S04Q1;Leao;601281.409;8539160.493
S04Q2;Leao;601286.338;8539163.01
S04Q3;Leao;601291.267;8539165.526
S01Q1;Grota;587928.047;8561174.484
S01Q2;Grota;587932.965;8561177.191
S01Q3;Grota;587937.883;8561179.899
S02Q1;Grota;587955.438;8561187.485
S02Q2;Grota;587960.192;8561192.138
S02Q3;Grota;587964.945;8561196.791
S03Q1;Grota;587972.114;8561216.559
S03Q2;Grota;587976.868;8561221.212
S03Q3;Grota;587981.621;8561225.864
S01Q1;Salobro;588675.995;8554265.055
S01Q2;Salobro;588680.912;8554267.762
S01Q3;Salobro;588685.83;8554270.47
S02Q1;Salobro;588675.278;8554275.797
S02Q2;Salobro;588680.032;8554280.45
S02Q3;Salobro;588684.785;8554285.102
S03Q1;Salobro;588683.366;8554284.227
S03Q2;Salobro;588688.119;8554288.88
S03Q3;Salobro;588692.872;8554293.533
S01Q1;Cedrao;601034.85;8539053.956
S01Q2;Cedrao;601039.768;8539056.664
S01Q3;Cedrao;601044.686;8539059.371
S02Q1;Cedrao;601035.232;8539048.721
S02Q2;Cedrao;601039.986;8539053.373
S02Q3;Cedrao;601044.739;8539058.026
S03Q1;Cedrao;601035.097;8539043.084
S03Q2;Cedrao;601039.85;8539047.736
S03Q3;Cedrao;601044.603;8539052.389
S01Q1;Cedro;601070.314;8538935.665
S01Q2;Cedro;601075.232;8538938.372
S01Q3;Cedro;601080.15;8538941.08
S02Q1;Cedro;601063.576;8538934.451
S02Q2;Cedro;601068.33;8538939.104
S02Q3;Cedro;601073.083;8538943.756
S01Q1;Cedriculo;601040.303;8539065.739
S01Q2;Cedriculo;601045.22;8539068.447
S01Q3;Cedriculo;601050.138;8539071.154
S01Q1;Cinquentona;605261.59;8538660.694
S01Q2;Cinquentona;605266.508;8538663.401
S01Q3;Cinquentona;605271.426;8538666.108
S02Q1;Cinquentona;605263.975;8538667.314
S02Q2;Cinquentona;605268.728;8538671.967
S02Q3;Cinquentona;605273.481;8538676.619
S01Q1;Escrevidinha;605253.079;8538646.984
S01Q2;Escrevidinha;605257.997;8538649.692
S01Q3;Escrevidinha;605262.915;8538652.399
S01Q1;Cristal;599493.549;8527608.318
S01Q2;Cristal;599498.467;8527611.025
S01Q3;Cristal;599503.385;8527613.733
