setor;cave;bacia;hidro;umidade;distancia;temperatura;d.subs;d.abrigo;d.alimento;Shelter.Av.;Trophic.Av.;GU;FZ;CRC;DTV;TM;ST;DP;FG;ACT;OTO;RC;XB;MB;SB;CB;CAG;CAF;ARE;SEF;HP;ES;ESR;ESC;BM;GRR;COG
S01;Tunel2;SF;Dis;70;15;24.1;0.618234675;0.81578438;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;12.5;3.5;0;0;82;0;0;0;0;0;0;0
S02;Tunel2;SF;Dis;79;35;28.7;0.621151514;1.029653014;0;10;5;0;0;0;5;0;0;0;0;0;0;0;0;2;0;0;3;5;0;85;0;0;0;0;0;0;0
S03;Tunel2;SF;Dis;69.5;65;24.5;0.871328803;0.425848449;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;73;4;17;0;0;0;0;0
S01;G_Cruz;SF;Dis;81.4;14.57;21.9;0.841363053;0.814065803;0;100;0.5;0;0;0;0.5;0;0;0;0;0;0;0;72;0;0;17;10;1;0;0;0;0;0;0;0;0;0
S02;G_Cruz;SF;Dis;81.9;40;22.7;1.401552019;1.018320853;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;7;2;40;3;18;0;0;0;0;0;0;0
S01;2Cobras;SF;Dis;84.8;16;21.4;1.469620166;0.972195936;0;55.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;10;34;11;10;33;0;0;0;0;0;0;0
S02;2Cobras;SF;Dis;85.3;12;20.2;1.458105316;1.371324246;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;12;9;8;11;52;0;0;0;0;0;0;0
S01;Cumbra;SF;Dis;95;15;24.3;1.523578473;1.047132185;0;32;6;0;0;0;6;0;0;0;0;0;0;0;0;0;0;5;5;2;10;2;50;0;0;0;20;0;0
S02;Cumbra;SF;Dis;69.6;6.89;23.7;1.239769109;1.306106609;0;26;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;10;8;4;0;8;66;0;0;0;4;0;0
S01;R_Bovina;SF;Dis;85.8;16.9;21.1;0.813185108;0.631978161;0.598269589;26;1.4;0;0;0;1;0;0;0;0;0.4;0;0;0;0;0;8.5;0;0;0;0;73;0;0;0;17.5;0;0
S02;R_Bovina;SF;Dis;79.4;35;22.8;1.305686923;0.579915171;0;7.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;22.5;32;38;0;0;0;5.5;0;0
S01;F_Obliqua;SF;Dis;39.6;6.9;30.6;1.284408836;0.827738157;0;18;5;0;0;0;5;0;0;0;0;0;0;62;1;0;0;0;6;11;3.8;12.5;0;0;0;0;0;0;0
S01;Tunel1;SF;Dis;74.5;3;23.9;1.098322523;0.668248478;0;18;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;11;7;0;0;24;56;0;0;0;0;0
S1;Pajeu;SF;Dis;68.1;14;24.2;0.708346578;1.039720771;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;80;0;0;0;0;10;0;0
S2;Pajeu;SF;Dis;74.2;75;25.8;1.690980906;1.162439505;0;28;39.5;39.5;0;0;0;0;0;0;0;0;0;0;0;0;0.5;8;9;10.5;9.5;28;3.5;0;0;0;0;0;0
S3;Pajeu;SF;Dis;96.4;120;25.1;0.815735001;0.79631164;0.354051139;7;88;78;0;0;0;0;0;0;0;10;0;0;0;0;0;5;1;1;5;0;0;0;0;0;0;0;0
S4;Pajeu;SF;Dis;88.5;218;25.1;0.754836023;0.951381372;0;14.5;2;0;0;0;2;0;0;0;0;0;0;0;0;0;7;0;1.5;6;2;79;0;0;0;0;0;0;0
S5;Pajeu;SF;Dis;93.4;253;24.7;0.894474554;0;0.692687973;3.5;16.5;8.5;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;3.5;5;0;75;0;0;0;0;0;0
S1;Leao;SF;Dis;84;12;23.1;1.705810291;1.036198785;0.693147181;10;20;0;0;0;20;0;0;0;0;0;0;0;0;0;0;25;20;10;0;25;0;0;0;0;0;0;0
S2;Leao;SF;Dis;74.2;75;25.8;0.626807921;0;0.278769372;0;5;0;0;0.4;4.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0;15
S3;Leao;SF;Dis;95.3;38;23.8;1.037393667;0.590842246;0.489551894;0;5.2;4.2;0;0;0;0;0;0;0;1;0;0;0;0;0;0.5;0;0;3;49;0;1.3;13.2;0;0;0;0
S4;Leao;SF;Dis;96.3;105;23.7;0.373771779;0.692849709;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4.2;0;0;0;80;0;0;0;0;0;0;0
S1;Grota;RC;Rec;87.4;14;22.9;0.554159928;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;0;0;0;0;20;0;0
S2;Grota;RC;Rec;85.2;31.5;22.8;0.532248601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0.5;80;0;0;0;0;14.5;0;0
S3;Grota;RC;Rec;94.1;51;22.6;0.555300312;0.562335145;0.813293461;0.5;6.2;3;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;1.5;0.5;4;87.8;0;0;0;0;0;0;0
S1;Salobro;RC;Rec;92.8;23.3;23.7;1.168210486;0.636514168;0;10;1;1;0;0;0;0;8;0;0;0;0;0;0;0;0;0;5;10;0;64;12;0;0;0;0;0;0
S2;Salobro;RC;Rec;91.7;54;26;1.167218039;0.649248355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;20;40;0;6;0;0;0;0;0
S3;Salobro;RC;Rec;95;80;27;0.690163498;0;0.304636097;6;2.2;0;2;0;0.2;11.8;0;0;0;0;0;0;0;0;0;0;0;6;0;80;0;0;0;0;0;0;0
